per;mes;orden;hogar;p3271;p6040;p6050;p6083;p3042;inglabo;rama2d_r4
2024;12;1;1;2;54;1;3;5.0;1000000.0;45.0
2024;12;1;1;2;31;1;3;3.0;400000.0;1.0
2024;12;2;1;1;40;2;2;10.0;3000000.0;85.0
2024;12;1;1;1;57;1;2;8.0;1400000.0;86.0
2024;12;1;1;1;62;1;3;4.0;400000.0;1.0
2024;12;1;1;2;37;1;2;5.0;900000.0;47.0
2024;12;1;1;1;51;1;3;4.0;1200000.0;53.0
2024;12;1;1;1;49;1;2;4.0;2000000.0;47.0
2024;12;1;1;2;71;1;3;5.0;260000.0;47.0
2024;12;3;1;1;31;3;1;5.0;1000000.0;31.0
2024;12;1;1;2;45;1;3;10.0;3000000.0;84.0
2024;12;1;1;1;52;1;3;3.0;1300000.0;47.0
2024;12;2;1;2;33;2;2;10.0;1000000.0;96.0
2024;12;1;1;2;67;1;3;3.0;500000.0;47.0
2024;12;1;1;2;41;1;2;6.0;700000.0;85.0
2024;12;1;1;2;34;1;2;9.0;1900000.0;21.0
2024;12;1;1;2;29;1;2;5.0;1300000.0;82.0
2024;12;1;1;1;45;1;1;12.0;6700000.0;85.0
2024;12;1;1;1;64;1;3;3.0;400000.0;45.0
2024;12;2;1;2;35;2;2;5.0;1350000.0;47.0
2024;12;1;1;1;68;1;3;5.0;600000.0;1.0
2024;12;3;1;2;38;8;1;5.0;1350000.0;47.0
2024;12;1;1;1;45;1;2;1.0;1500000.0;41.0
2024;12;2;1;2;58;2;3;3.0;100000.0;10.0
2024;12;1;1;1;63;1;3;11.0;3000000.0;86.0
2024;12;3;1;1;24;3;1;5.0;1200000.0;45.0
2024;12;1;1;1;54;1;2;12.0;4800000.0;85.0
2024;12;1;1;2;59;1;3;4.0;1200000.0;56.0
2024;12;2;1;1;40;2;2;10.0;2000000.0;84.0
2024;12;2;1;2;51;6;2;5.0;1300000.0;68.0
2024;12;2;1;2;55;2;2;9.0;1300000.0;64.0
2024;12;1;1;1;30;1;2;10.0;3000000.0;46.0
2024;12;1;1;1;35;1;2;4.0;2000000.0;56.0
2024;12;1;1;1;66;1;3;3.0;100000.0;95.0
2024;12;2;1;2;39;3;1;11.0;2600000.0;64.0
2024;12;2;1;1;51;2;2;4.0;1800000.0;47.0
2024;12;1;1;2;61;1;3;12.0;6200000.0;85.0
2024;12;1;1;1;42;1;3;5.0;2100000.0;47.0
2024;12;1;1;1;41;1;2;11.0;4000000.0;84.0
2024;12;1;1;1;58;1;3;9.0;3000000.0;42.0
2024;12;1;1;2;30;1;2;10.0;800000.0;14.0
2024;12;2;1;2;43;2;2;8.0;1300000.0;97.0
2024;12;1;1;2;53;1;3;3.0;600000.0;47.0
2024;12;1;1;1;41;1;2;3.0;350000.0;49.0
2024;12;1;1;2;69;1;3;3.0;200000.0;15.0
2024;12;3;1;1;17;3;1;5.0;400000.0;1.0
2024;12;1;1;2;28;1;2;5.0;400000.0;1.0
2024;12;1;1;1;69;1;3;11.0;5300000.0;85.0
2024;12;3;1;1;27;3;1;10.0;1300000.0;69.0
2024;12;2;1;1;36;2;2;4.0;1500000.0;56.0
2024;12;1;1;1;53;1;2;1.0;800000.0;1.0
2024;12;1;1;2;39;1;2;3.0;50000.0;56.0
2024;12;1;1;1;35;1;1;8.0;1500000.0;73.0
2024;12;1;1;1;36;1;2;4.0;1100000.0;1.0
